Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Ribosome	49/158	1.43941789137065e-33	3.45460293928956e-31	49	0.310126582278481	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPL36;RPL9;RPL6;MRPL32;RPL7;MRPL33;RPS4X;MRPL3;RPS17;RPL36AL;RPS18;RPL35;RPL39;RPS10;RPS13;RPL21;RPL23;MRPS21;RPS3A;MRPS18C;RPL37A;RPL24;RPL27;RPL26;RPL12;RPL11;MRPL17;RPS27L;MRPL13;RPS15A;RPL15;RPS27A;RPL17;RPL41;RPL35A;MRPL22;RPS25;RPS27;RPS29;RPS20;RPS21;RPS24;RPL26L1
Coronavirus disease	42/232	4.60036197815989e-19	5.52043437379187e-17	42	0.181034482758621	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPS27L;RPL9;RPL6;RPL7;RPS4X;RPS17;TBK1;RPS15A;RPL36AL;RPS18;CASP1;RPL35;RPL15;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;RPS25;RPS27;RPS29;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24;RPL26L1
Oxidative phosphorylation	25/133	2.95564935690811e-12	2.36451948552649e-10	25	0.18796992481203	COX7B;UQCRB;NDUFB6;NDUFB5;COX17;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;ATP6V1E1;ATP6V1D;NDUFA8;ATP6V1G1;NDUFA4;NDUFA1;SDHD;COX6C;PPA1;UQCRQ;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
Parkinson disease	34/249	5.28252301409607e-12	3.16951380845764e-10	34	0.136546184738956	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;GNAI3;NDUFB2;COX7A2;TXN;COX6A1;COX7C;UQCRH;PSMD6;CASP3;PSMB1;RPS27A;NDUFA8;NDUFA4;NDUFA1;SDHD;COX6C;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2;CALM2;NFE2L2
Prion disease	32/273	1.19038096717258e-09	5.71382864242837e-08	32	0.117216117216117	COX7B;UQCRB;NDUFB6;NCF2;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;CASP3;PSMB1;HSPA8;NDUFA8;NDUFA4;NDUFA1;SDHD;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2
Huntington disease	34/306	1.48117277158859e-09	5.92469108635436e-08	34	0.111111111111111	COX7B;HDAC2;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;CASP3;RB1CC1;PSMB1;NDUFA8;NDUFA4;NDUFA1;SDHD;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;TFAM;UQCRC2;ACTR10
Amyotrophic lateral sclerosis	37/364	3.32191247175189e-09	1.13894141888636e-07	37	0.101648351648352	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;TBK1;CASP3;RB1CC1;PSMB1;CASP1;NUP88;NDUFA8;NDUFA4;NDUFA1;SDHD;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;MATR3;UQCRC2;ACTR10;NUP37
Non-alcoholic fatty liver disease	21/155	7.16326561029804e-08	2.14897968308941e-06	21	0.135483870967742	NDUFA8;COX7B;UQCRB;NDUFB6;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;COX7A2;SDHD;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;CASP3;NDUFS5;NDUFS4;NDUFAB1;UQCRC2
Diabetic cardiomyopathy	23/203	4.7363430045398e-07	1.26302480121061e-05	23	0.113300492610837	NDUFA8;COX7B;UQCRB;NDUFB6;NCF2;NDUFB5;NDUFA4;NDUFB3;PTEN;NDUFB2;NDUFA1;COX7A2;SDHD;COX6C;COX6A1;COX7C;UQCRH;PPP1CC;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;UQCRC2
Alzheimer disease	32/369	1.39817693190807e-06	3.35562463657938e-05	32	0.0867208672086721	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;CASP3;RB1CC1;PSMB1;NAE1;NDUFA8;NDUFA4;NDUFA1;SDHD;COX6C;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;NDUFAB1;PSMC2;NDUFS4;UQCRC2;CALM2
Thermogenesis	23/232	4.78849930451919e-06	0.000104476348462237	23	0.0991379310344828	NDUFA8;COX7B;UQCRB;NDUFB6;NDUFB5;NDUFA4;COX17;NDUFB3;NDUFB2;NDUFA1;COX7A2;SDHD;COX6C;COX6A1;COX7C;UQCRH;RPS6KB1;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;NDUFAF2;UQCRC2
Pathways of neurodegeneration	35/475	1.72094908510099e-05	0.000344189817020198	35	0.0736842105263158	COX7B;UQCRB;NDUFB6;NDUFB5;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;PSMD6;TBK1;CASP3;RB1CC1;PSMB1;RPS27A;NDUFA8;NDUFA4;NDUFA1;SDHD;COX6C;SOD1;PSMA6;PSMA3;PSMA4;PSMC6;PSMA2;UQCRQ;NDUFS5;PSMC2;NDUFAB1;NDUFS4;UQCRC2;CALM2;ACTR10
Proteasome	9/46	2.07864438321421e-05	0.000383749732285701	9	0.195652173913043	PSMA6;PSMD6;PSMA3;PSMA4;PSMC6;PSMA2;POMP;PSMB1;PSMC2
Spliceosome	16/150	5.43174558983865e-05	0.000931156386829483	16	0.106666666666667	HSPA8;RBM25;CWC15;PLRG1;LSM5;LSM3;LSM7;SNRPD2;ZMAT2;SYF2;MAGOH;SNRPG;DHX15;SNRPB2;SNRPF;SLU7
Protein export	6/23	9.37049777379685e-05	0.0014992796438075	6	0.260869565217391	SRP19;SEC61B;SRP14;SEC11A;SRP9;SEC11C
Retrograde endocannabinoid signaling	14/148	0.000543069409738216	0.00814604114607323	14	0.0945945945945946	NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFB3;GNAI3;NDUFB2;NDUFA1;GNG11;GNG10;GNG2;NDUFS5;NDUFS4;NDUFAB1
Salmonella infection	19/249	0.000928187846979113	0.0131038284279404	19	0.0763052208835341	ACTR3;ACTR2;HSP90AA1;RALA;DYNLT1;DYNLT3;LY96;TXN;ARPC5;ARPC3;CASP3;CASP4;TNFSF10;CASP1;KPNA4;ACBD3;ACTR10;BIRC2;ARL8B
RNA degradation	9/79	0.00143344744304683	0.0191126325739578	9	0.113924050632911	ZCCHC7;LSM7;PAN3;LSM1;WDR61;LSM5;DCP2;LSM3;HSPD1
Cardiac muscle contraction	9/87	0.00281111903075388	0.0355088719674174	9	0.103448275862069	COX7B;UQCRB;UQCRQ;COX7A2;UQCRC2;COX6A1;COX6C;COX7C;UQCRH
